Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Tyreke Evans	NOP	26	SF	13.4	9.6	31.3	40.1
Tyreke Evans	SAC	14	SF	12.2	9.4	17.7	41.3
Dante Exum	UTA	66	PG	16.8	6.2	14.2	42.699999999999996
Kenneth Faried	DEN	61	PF	10.4	19.7	6.3	54.800000000000004
Jordan Farmar	SAC	2	PG	20	4.9	38.6	33.300000000000004
Derrick Favors	UTA	50	PF	11.4	14.9	7.9	48.699999999999996
Kay Felder	CLE	42	PG	14.7	5.9	22.7	39.2
Cristiano Felicio	CHI	66	C	11.2	16.1	5.7	57.699999999999996
Raymond Felton	LAC	80	PG	13.3	7.1	16.3	43
Yogi Ferrell	TOT	46	PG	13.9	5.3	23.2	40.6
Yogi Ferrell	BRK	10	PG	20	4.2	16.9	36.7
Yogi Ferrell	DAL	36	PG	12.9	5.5	24.1	41.199999999999996
Dorian Finney-Smith	DAL	81	PF	11.1	7.8	6	37.2
Bryn Forbes	SAS	36	SG	9.8	4.6	11.7	36.4
Evan Fournier	ORL	68	SG	11.8	5.1	14.8	43.9
Randy Foye	BRK	69	SG	18.5	6.4	15.2	36.3
Tim Frazier	NOP	65	PG	18	6	31.4	40.300000000000004
Channing Frye	CLE	74	C	8.8	11.4	4.9	45.800000000000004
Danilo Gallinari	DEN	63	SF	8.1	8.4	9.1	44.7
Langston Galloway	TOT	74	PG	7.4	5.6	9.4	38
Langston Galloway	NOP	55	PG	5.7	5.7	8.8	37.4
Langston Galloway	SAC	19	PG	14.1	5.4	11.2	40.400000000000006
Patricio Garino	ORL	5	SG	30	8.9	0	0
Marc Gasol	MEM	74	C	11.3	10.4	24.8	45.9
Pau Gasol	SAS	64	C	10.6	17.4	14.7	50.2
Rudy Gay	SAC	30	SF	12.8	10.8	13.9	45.5
Michael Gbinije	DET	9	SG	0	5.1	7.9	10
Alonzo Gee	DEN	13	SF	18.2	9.3	8.2	21.4
Paul George	IND	75	SF	12.6	10.3	16.1	46.1
